"rank","link","Population","Prev","Growth"
1635,,330637,332136,"-0.0045"
1636,,330633,328183,"0.0037"
1637,,330538,332205,"-0.0050"
1638,,330483,316928,"0.0428"
1639,,329996,323058,"0.0215"
1640,,329977,329483,"0.0015"
1641,,329913,326074,"0.0118"
1642,,329750,327496,"0.0069"
1643,,329544,316047,"0.0427"
1644,,329373,327081,"0.0070"
1645,,329370,321763,"0.0236"
1646,,329333,324466,"0.0150"
1647,,329071,319717,"0.0293"
1648,,329045,328393,"0.0020"
1649,,328887,329691,"-0.0024"
1650,,328798,317599,"0.0353"
1651,,328630,322155,"0.0201"
1652,,328338,315204,"0.0417"
1653,,328200,328932,"-0.0022"
1654,,328154,325925,"0.0068"
1655,,328140,318588,"0.0300"
1656,,328086,323163,"0.0152"
1657,,327985,321920,"0.0188"
1658,,327808,323205,"0.0142"
1659,,327672,322906,"0.0148"
1660,,327476,315070,"0.0394"
1661,,326809,323727,"0.0095"
1662,,326438,326120,"0.0010"
1663,,326371,324335,"0.0063"
1664,,326241,324791,"0.0045"
1665,,325360,324302,"0.0033"
1666,,325341,309155,"0.0255"
1667,,324216,318062,"0.0193"
1668,,323906,320853,"0.0095"
1669,,323796,313690,"0.0322"
1670,,323646,316147,"0.0237"
1671,,323432,318239,"0.0163"
1672,,323336,317905,"0.0171"
1673,,322000,318031,"0.0125"
1674,,321997,320608,"0.0043"
1675,,321351,322228,"-0.0027"
1676,,321112,314156,"0.0221"
1677,,321104,315095,"0.0191"
1678,,320899,321175,"-0.0009"
1679,,320829,317708,"0.0098"
1680,,320825,319883,"0.0029"
1681,,320713,314289,"0.0204"
1682,,320453,314566,"0.0187"
1683,,320194,320213,"-0.0001"
1684,,320129,317251,"0.0091"
1685,,319917,320169,"-0.0008"
1686,,319060,310369,"0.0280"
1687,,318064,316236,"0.0058"
1688,,318022,310979,"0.0226"
1689,,317313,317507,"-0.0006"
1690,,317217,310422,"0.0219"
1691,,317180,312920,"0.0136"
1692,,317091,308554,"0.0277"
1693,,317088,312080,"0.0080"
1694,,316737,316274,"0.0015"
1695,,316624,317683,"-0.0033"
1696,,316365,311664,"0.0151"
1697,,315533,313739,"0.0057"
1698,,314440,313210,"0.0039"
1699,,314244,310364,"0.0125"
1700,,314205,307963,"0.0203"
1701,,313878,308138,"0.0092"
1702,,313542,316294,"-0.0087"
1703,,313492,307482,"0.0195"
1704,,313401,307703,"0.0185"
1705,,313275,309634,"0.0118"
1706,,312617,309172,"0.0111"
1707,,312328,310367,"0.0063"
1708,,311819,306716,"0.0166"
1709,,311408,310051,"0.0044"
1710,,309741,308903,"0.0027"
1711,,307851,307397,"0.0015"
1712,,307670,306107,"0.0051"
1713,,307318,286720,"0.0347"
1714,,306977,309275,"-0.0074"
1715,,306853,306596,"0.0008"
1716,,306736,306796,"-0.0002"
1717,,305114,302743,"0.0078"
1718,,305047,306657,"-0.0053"
1719,,304865,305335,"-0.0015"
1720,,303933,290553,"0.0225"
1721,,302669,303147,"-0.0008"
1722,,302105,303891,"-0.0059"
1723,,299956,300568,"-0.0020"
